1	1	100.0	100	0	36	1	
2	1	4.55	53	531	605	42	
3	1	7.14	67	486	621	44	
4	1	8.33	52	499	621	44	
5	1	7.69	50	442	679	52	
6	1	6.67	41	474	679	52	
7	1	11.11	43	404	679	52	
8	1	5.88	32	504	693	54	
9	1	4.0	24	589	693	54	
10	1	3.23	20	632	728	59	
20	1	2.56	10	696	758	64	
30	1	1.89	6	740	788	69	
40	1	1.59	5	772	812	73	
50	1	1.35	4	802	830	76	
60	1	1.35	4	802	830	76	
70	1	1.32	2	806	830	76	
80	1	1.32	2	806	830	76	
90	1	1.32	2	806	830	76	
100	1	1.0	1	830	830	98	
