10.0	1	2.19	999	3097	3600	
5.0	1	2.19	1999	3091	3500	
3.333333333333333	1	2.41	2999	2959	3400	
2.5	1	2.28	3999	2979	3200	
2.0	1	2.39	4999	2824	2900	
1.6666666666666667	1	2.77	5999	2544	2600	
1.4285714285714284	1	3.53	7000	2097	2100	
1.25	1	5.13	7999	1553	1600	
1.1111111111111112	1	10.02	8999	875	900	
10.0	1	2.21	999	3110	3600	
5.0	1	2.2	1999	3100	3500	
3.333333333333333	1	2.4	2999	2954	3400	
2.5	1	2.23	3999	3016	3200	
2.0	1	2.38	4999	2831	2900	
1.6666666666666667	1	2.76	5999	2559	2600	
1.4285714285714284	1	3.53	7000	2094	2100	
1.25	1	5.11	7999	1561	1600	
1.1111111111111112	1	10.02	8999	874	900	
10.0	1	2.19	999	3116	3600	
5.0	1	2.24	1999	3054	3500	
3.333333333333333	1	2.36	2999	2977	3400	
2.5	1	2.26	3999	2998	3200	
2.0	1	2.38	4999	2835	2900	
1.6666666666666667	1	2.75	5999	2561	2600	
1.4285714285714284	1	3.54	7000	2094	2100	
1.25	1	5.12	7999	1564	1600	
1.1111111111111112	1	10.02	8999	877	900	
10.0	1	2.22	999	3088	3600	
5.0	1	2.18	1999	3100	3500	
3.333333333333333	1	2.43	2999	2936	3400	
2.5	1	2.26	3999	2995	3200	
2.0	1	2.38	4999	2834	2900	
1.6666666666666667	1	2.76	5999	2554	2600	
1.4285714285714284	1	3.53	7000	2094	2100	
1.25	1	5.12	7999	1563	1600	
1.1111111111111112	1	10.02	8999	872	900	
10.0	1	2.18	999	3113	3600	
5.0	1	2.2	1999	3093	3500	
3.333333333333333	1	2.39	2999	2959	3400	
2.5	1	2.25	3999	2998	3200	
2.0	1	2.38	4999	2828	2900	
1.6666666666666667	1	2.77	5999	2556	2600	
1.4285714285714284	1	3.54	7000	2096	2100	
1.25	1	5.12	7999	1559	1600	
1.1111111111111112	1	10.03	8999	873	900	
10.0	1	2.21	999	3095	3600	
5.0	1	2.18	1999	3112	3500	
3.333333333333333	1	2.38	2999	2959	3400	
2.5	1	2.27	3999	2982	3200	
2.0	1	2.38	4999	2833	2900	
1.6666666666666667	1	2.77	5999	2547	2600	
1.4285714285714284	1	3.54	7000	2094	2100	
1.25	1	5.12	7999	1562	1600	
1.1111111111111112	1	10.01	8999	870	900	
10.0	1	2.18	999	3129	3600	
5.0	1	2.19	1999	3095	3500	
3.333333333333333	1	2.39	2999	2961	3400	
2.5	1	2.25	3999	2996	3200	
2.0	1	2.39	4999	2834	2900	
1.6666666666666667	1	2.77	5999	2555	2600	
1.4285714285714284	1	3.53	7000	2094	2100	
1.25	1	5.1	7999	1566	1600	
1.1111111111111112	1	10.02	8999	876	900	
10.0	1	2.17	999	3125	3600	
5.0	1	2.21	1999	3082	3500	
3.333333333333333	1	2.38	2999	2959	3400	
2.5	1	2.27	3999	2978	3200	
2.0	1	2.39	4999	2829	2900	
1.6666666666666667	1	2.77	5999	2554	2600	
1.4285714285714284	1	3.54	7000	2091	2100	
1.25	1	5.12	7999	1560	1600	
1.1111111111111112	1	10.02	8999	868	900	
10.0	1	2.25	999	3091	3600	
5.0	1	2.23	1999	3081	3500	
3.333333333333333	1	2.42	2999	2930	3400	
2.5	1	2.26	3999	2985	3200	
2.0	1	2.38	4999	2839	2900	
1.6666666666666667	1	2.76	5999	2560	2600	
1.4285714285714284	1	3.54	7000	2090	2100	
1.25	1	5.12	7999	1563	1600	
1.1111111111111112	1	10.01	8999	878	900	
10.0	1	2.2	999	3111	3600	
5.0	1	2.2	1999	3081	3500	
3.333333333333333	1	2.34	2999	2979	3400	
2.5	1	2.26	3999	2998	3200	
2.0	1	2.39	4999	2825	2900	
1.6666666666666667	1	2.76	5999	2546	2600	
1.4285714285714284	1	3.54	7000	2094	2100	
1.25	1	5.12	7999	1558	1600	
1.1111111111111112	1	10.02	8999	872	900	
